heure,niveau,tache
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,625",ERROR,N/A
"2023-06-26 11:06:03,626",ERROR,N/A
"2023-06-26 11:06:03,626",ERROR,N/A
"2023-06-26 11:06:03,626",ERROR,N/A
"2023-06-26 11:06:03,626",ERROR,N/A
"2023-06-26 11:28:17,736",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 11:28:17,736",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR, ConnectionResetError: 
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR,N/A
"2023-06-26 11:28:17,737",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 11:28:17,738",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,446",ERROR, ConnectionResetError: 
"2023-06-26 11:50:37,446",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
